%pc_wealth_adj,factor
122602.5,1820
12862.95,586
100736.2,4346
294447.3,2639
108540.1,667
125038.9,1069
216957.1,4398
104435.3,287
236932.4,3079
91393.91,97
25988.17,2264
498172.6,223
34193.06,850
214855.6,676
32819.38,288
65573.52,130
245205,1239
209319.5,1978
22135.04,78
116718.1,1657
80134.41,706
144284.1,706
77729.59,2051
96281.45,907
11327.97,2191
66807.91,113
221985.2,1837
43570.19,271
76054.16,6560
59170.17,2494
50862.08,1219
2091.018,4436
18696.84,49
34133.34,434
29166.97,352
129463.6,809
112503.4,158
47360.45,840
81702.68,181
112238.7,2360
235671.5,664
46304.61,1573
36524.76,318
-4914.804,17
116395.2,2567
481123.5,2520
315101.6,454
126777.9,1161
396902.5,1311
10998.29,270
48555.18,5469
79837.52,1311
50154.11,1041
85624.73,115
60073.39,296
166925.3,2106
145448.5,1936
28820.58,1092
41203.31,176
150129.3,2051
170809.5,78
131038.4,167
123866.6,71
113790.8,283
35689.18,273
258126.3,387
104675.2,1311
316748,483
37322.05,4683
94746.59,158
391891.1,533
276334.6,3267
20736.98,1000
359775.9,1273
74364.88,15
149519.8,1735
60079.41,260
13102.92,526
110708.3,4819
197905.7,1311
102330.9,726
195844.2,197
97235.52,150
56743.95,1273
136240.8,171
256676.5,1311
131132.9,5610
102740.3,938
129343.4,215
136861.7,1273
124903.6,878
65898.17,2608
15199.8,550
41253.84,39
37585.32,1421
95850.34,1162
9006.637,17
19242.84,260
148624.2,129
134792.7,229
465478,2926
28776.23,661
3869.549,1423
106845.9,333
513035.2,741
340279.3,295
593524.3,184
55338.98,1436
819063.6,2377
94310.02,2046
253557,6412
598690.8,108
66846.31,2484
196880.2,264
245445,4928
105830,93
244240.3,154
131713.6,454
69841.23,2246
76499.45,78
164318.9,8942
181234.5,939
116654.9,65
126910.3,2540
131743,1319
661787.7,2382
921086.8,2582
68851.16,175
218598.3,612
248517.1,1791
194417.9,1155
98359.9,581
210052.6,1648
37393.69,49
61289.18,352
197047.9,2541
159690.9,74
433963.7,276
88755.26,5274
511158.3,252
40531.71,688
274958.3,5768
170072,2315
63110.71,1104
16562.2,321
10801.58,434
22822.23,1454
83604.52,3392
99427.43,140
140110.9,39
114085.6,2051
113168.6,59
5245.576,6092
25845.31,32
136418.5,1900
34723.71,179
31229.68,54
15544.89,310
96548.69,3525
40443.82,1091
38691.65,1690
94619.33,849
133725.2,290
341330.9,842
17743.54,318
139508.3,19
69988.9,938
115719.4,120
183294.8,1074
134314.9,1837
294583.9,2319
75808.38,1423
528812.2,3537
111300.2,1532
64107.53,1296
412461.4,5615
149377.9,642
142178.7,557
183296.8,148
139657.5,1496
51285.99,1321
79016.85,1676
208874.6,2926
39411.14,852
39083.23,1006
230670.7,146
134720.7,522
277197.3,2950
193719.1,2360
214489.4,905
15571.93,1149
172598.4,1687
31926.14,191
25933.75,520
141800.5,1553
106408.6,464
301534.6,2902
-982.9608,141
43863,1883
316006.4,774
128580.7,211
116432.3,439
189006.3,383
145203.2,102
263599.6,5977
189770.7,1425
102050.4,5274
148586.1,3462
57477.43,1415
130422.8,2291
183000.4,1457
11163.89,351
145826.2,379
115550.4,409
71176.93,139
198028,1604
257371.2,11538
186507.8,537
87903.88,165
69424.86,862
76098.86,542
56364.63,862
167212.7,141
276499.6,565
145347.6,666
27501.01,466
76880.85,147
0,376
34673.2,4740
93849.06,2247
70567.27,1642
84041.3,1334
486514.6,706
8697.201,132
32127.15,1299
83677.48,862
121496.1,862
89638.66,311
279819.2,1311
117562.3,2629
10373.58,1000
76116.54,434
33862.81,138
95268.1,6110
44125.66,439
1160.865,980
151209.6,869
242392,1477
124371.2,1532
123557.1,1001
101503.8,1421
229540.4,2722
52026.82,1834
32424.76,2549
219624.3,2452
5186.772,11
551367.6,1800
4523.543,90
224016.1,380
10196.35,290
35126.36,1846
96716.96,1415
753939.3,689
42328.51,577
136722.5,141
356103.6,767
101217.9,2950
95656.34,2608
103537,179
172136.7,2962
98087.32,706
142388.4,1298
202170.1,1807
52718.54,2541
88882.18,41
165226.5,1641
304742.9,1987
30254.3,1846
190526.5,3237
106283.8,124
41712.14,1000
165850.4,157
50135.07,1846
86600.07,59
183005.3,4928
56794.36,427
70712.23,1846
90554.73,1846
17241.69,1846
128683.3,4928
457892.1,1321
27031.48,484
112952.1,922
483254.7,234
53436.41,243
102757.1,324
9344.782,372
240167.8,196
63490.98,661
48243.31,726
153957.5,101
112954.6,1416
522820.8,96
187427.5,706
28541.58,649
147772.5,341
80232.78,93
192519.7,207
20373.71,2996
95127.18,2291
18926.62,15
34139.36,223
65858.29,198
219784.4,466
192727.2,496
60822.64,963
46861.73,1092
73945.11,1187
8451.128,997
749302.8,975
153588.8,433
2549.054,141
222043.7,2759
64314.77,3243
36452.18,111
2183.449,96
70188.3,147
87864.23,269
114146.6,2877
197160.7,198
89638.66,488
165608.2,125
207647.7,2315
30936.26,938
41248.34,1044
63801.39,175
93847.7,647
39155.14,572
149311.7,840
912704.6,1197
272587.3,793
2382.028,339
277170,553
267557.1,3291
199741.4,1448
121738.3,1155
91369.22,321
287886.4,256
355516.2,1502
133725.2,666
93779.2,166
84160.08,3809
82304.59,1126
96090.77,924
149109.7,3267
217411.7,1644
168668,1044
141461.7,426
100292.4,666
89947.27,1705
72246.11,177
115468.2,99
340572.8,321
49270.33,260
35526.99,1421
23313.47,4683
62626.48,337
94294.28,243
64314.77,1593
91375.7,394
91866.38,1494
154025.5,553
546283.6,218
127398.2,21
23177.09,39
130962.7,684
107191.3,998
188062.8,321
44564.21,1007
191249.7,1550
127276.6,885
20333.68,49
17583.34,1923
152403.4,321
759362.9,1972
162219.3,2555
3189.682,270
63593.4,65
479798.3,327
122519.1,527
3251.104,718
76675.93,1421
89216.98,2216
46360.2,1227
167805.4,1421
162378.8,125
4611.788,3373
69305.72,927
258009.7,132
152071.3,633
4523.543,96
123755.6,122
63949.43,2474
134328.4,3702
597242.3,2246
164184.8,411
62982.67,649
46725.76,2474
349048.4,148
293378.9,1425
99465.62,671
109076.9,3015
14117.87,542
27879.17,439
31120.63,2264
20202.16,542
222568.2,878
229052.8,288
52660.35,96
107951.6,1316
1451.081,270
95030.45,222
77373.76,2360
59759.11,246
59530.14,39
18161.72,13
36244.68,228
130962.7,119
190332.2,588
78186.75,176
62976.5,38
72149.5,305
55898.1,244
237762.3,165
247971.8,2307
30600.66,352
102482.1,125
113043.5,509
62019.72,317
29547.81,352
117153.5,97
137448.6,642
328532.8,217
30477.41,1494
455286,218
39794.54,2965
108589.7,22
76770.98,120
356095.2,1900
226338.2,1097
168433.6,939
104734.1,276
52270.38,372
54485.16,13
200127.6,138
41028.79,4439
116313.5,142
116418.5,404
16737.89,1396
316035.8,1690
122884.8,1064
88846.98,274
176198.1,4439
98376.01,4439
348537,1104
180404.4,37
33862.81,4439
123584.5,2549
58043.78,849
81734.98,4019
117062.9,198
366492.8,582
2074.709,313
383769.9,1002
95955.2,4902
179366.9,1708
314882.1,591
183219.6,1272
16684.86,305
75438.71,250
99314.16,2452
41047.16,351
149571,1006
32020.15,586
428073,217
839244.3,3069
82795.3,1304
51285.99,2950
236766.3,307
176178.2,706
80990.8,596
333302.8,1768
417781.5,1214
20025.83,1901
195934.3,122
100063.9,78
95307.08,3393
89326.53,2647
93149.18,97
29100.46,1219
51285.99,229
52915.02,2996
148585,1380
152056.6,5035
113304.7,665
199606.2,1122
237892.4,2759
58798.25,3525
61691.62,878
52197.86,3243
33376.85,260
0,4683
32816.91,394
171437.2,666
205241.6,735
109356.6,2191
230665,153
24772.87,37
692812.6,676
227866.7,15
105671.6,96
122602.5,1657
60595.63,2360
264811.3,756
206423.1,706
20373.71,3193
79230.29,228
226891.3,1214
172779.5,1998
12340.52,505
139017.7,1494
28709.76,596
172243,753
0,218
317651.9,587
69403.12,1494
34081.09,396
391966.9,1843
0,2484
54937.75,1579
138692.8,539
286145.8,93
123513.5,1604
